code,name,chapter,description,inclusions,source_datasets
K729,"Hepatic failure, unspecified",Diseases of the digestive system,"The standard clinical code used when a patient has definitive, severe liver failure, but the medical record does not specify whether it was a sudden, rapid-onset emergency (acute) or a slow decline over decades (chronic).",,Tayside and Fife
K74,Fibrosis and cirrhosis of liver,Diseases of the digestive system,"The overarching parent medical category for permanent, irreversible liver scarring where normal, spongy liver tissue is systematically replaced by hard scar tissue .",,National Scotland
K746,Other and unspecified cirrhosis of liver,Diseases of the digestive system,"Advanced liver cirrhosis that is caused by non-alcoholic factors. The ""D"" in your specific tracking database system denotes an active or monitored chronic presentation. The structural liver failure is identical to alcoholic cirrhosis, but the damage is triggered by alternative health issues. The most common causes under this code are chronic Hepatitis C or Hepatitis B viral infections, or advanced metabolic conditions like Non-Alcoholic Steatohepatitis (NASH).",Cirrhosis (of liver): NOS | Cirrhosis (of liver): cryptogenic | Cirrhosis (of liver): macronodular | Cirrhosis (of liver): micronodular | Cirrhosis (of liver): mixed type | Cirrhosis (of liver): portal | Cirrhosis (of liver): postnecrotic,Tayside and Fife
K746D,Fibrosis and cirrhosis of liver,Diseases of the digestive system,"Advanced liver cirrhosis that is caused by non-alcoholic factors. The ""D"" in your specific tracking database system denotes an active or monitored chronic presentation. The structural liver failure is identical to alcoholic cirrhosis, but the damage is triggered by alternative health issues. The most common causes under this code are chronic Hepatitis C or Hepatitis B viral infections, or advanced metabolic conditions like Non-Alcoholic Steatohepatitis (NASH).",,Tayside and Fife
K75,Other inflammatory liver diseases,Diseases of the digestive system,"A category for non-viral, highly active inflammatory diseases of the liver tissue, such as Autoimmune Hepatitis (where the body's immune system turns and directly attacks its own liver cells) or localized liver abscesses.",,National Scotland
K76,Other diseases of liver,Diseases of the digestive system,The general parent family tracking chronic or structural anomalies of the liver tissue that aren't classified under infections or cirrhosis.,,National Scotland
K760,"Fatty (change of) liver, not elsewhere classified",Diseases of the digestive system,"Commonly known as Hepatic Steatosis or Fatty Liver.Large droplets of metabolic fat abnormally accumulate inside the individual cells of the liver. While early stages cause zero permanent damage, if the fat continues to build up, it triggers a baseline inflammatory response that can slowly progress to liver scarring (cirrhosis) over many years.",Nonalcoholic fatty liver disease [NAFLD],Tayside and Fife
K766,Portal hypertension,Diseases of the digestive system,"A severe, dangerous circulatory complication directly caused by liver cirrhosis. Because the liver is full of hard scar tissue, blood coming from the stomach and intestines cannot filter through it smoothly. The blood hits a physical wall, causing the blood pressure inside the primary liver artery (the portal vein) to spike drastically. To escape this pressure, the blood forces its way backward into the fragile veins of the throat and stomach, causing them to swell up like balloons (esophageal varices, I85), which can rupture and bleed heavily.",,Tayside and Fife
K767,Hepatorenal syndrome,Diseases of the digestive system,"A severe, critical medical emergency where advanced liver failure suddenly triggers complete kidney failure. In advanced cirrhosis, the extreme changes in abdominal blood pressure trick the body into altering its blood flow patterns. The blood vessels feeding the kidneys suddenly and severely clamp shut, starving the kidneys of blood. The kidneys are structurally healthy, but because they are denied blood, they stop filtering waste entirely.",,Tayside and Fife
K768,Other specified diseases of liver,Diseases of the digestive system," Tracks less common, specialized liver conditions, such as severe liver congestion caused directly by right-sided heart failure.",Acquired intrahepatic vascular shunt | Focal nodular hyperplasia of liver | Hepatoptosis | Simple cyst of liver,Tayside and Fife
K80,Cholelithiasis,Diseases of the digestive system," Gallstones.Small, pebble-like stones form inside the gallbladder, typically made of hardened, crystallized cholesterol or bile pigments. They can sit silently for years, but if a stone rolls out and blocks the narrow drainage tube (cystic duct), it traps digestive fluid inside the gallbladder, causing intense muscle spasms.",,National Scotland
K81,Cholecystitis,Diseases of the digestive system,"Acute or chronic inflammation of the gallbladder. This is the direct result of a gallstone (K80) getting physically wedged inside the exit tube. Because the bile cannot drain out, the gallbladder stretches, swells, and the trapped fluid becomes infected with bacteria. If left untreated, the gallbladder wall can lose blood flow and rupture, leaking infection into the abdomen.",,National Scotland
K82,Other diseases of gallbladder,Diseases of the digestive system," A category for non-inflammatory gallbladder issues, such as a shrunken, scarred gallbladder from old gallstones, or noncancerous polyps on the gallbladder wall.",,National Scotland
K83,Other diseases of biliary tract,Diseases of the digestive system,Conditions affecting the network of drainage tubes (bile ducts) that carry bile from the liver and gallbladder into the small intestine. This tracks issues like biliary strictures (abnormal narrowing of the tubes) or non-infectious inflammation.,,National Scotland
K85,Acute pancreatitis,Diseases of the digestive system,"A sudden, severe medical emergency involving rapid inflammation of the pancreas. Usually triggered by a gallstone blocking the pancreatic duct or heavy alcohol use, the powerful digestive enzymes manufactured by the pancreas become trapped inside the organ. Instead of digesting food in the intestine, the enzymes activate early and begin physically digesting the pancreas itself.",Abscess of pancreas | Necrosis of pancreas: acute | Necrosis of pancreas: infective | Pancreatitis: NOS | Pancreatitis: acute (recurrent) | Pancreatitis: haemorrhagic | Pancreatitis: subacute | Pancreatitis: suppurative,National Scotland
K86,Other diseases of pancreas,Diseases of the digestive system,"Tracks chronic or long-standing pancreatic issues, most notably Chronic Pancreatitis (where long-term inflammation permanently destroys pancreatic tissue, leading to diabetes and an inability to digest food properly).",,National Scotland
K91,"Postprocedural disorders of digestive system, not elsewhere classified",Diseases of the digestive system,An administrative category used when a patient develops a gastrointestinal complication as a direct result of a surgical procedure (such as a leak after bowel surgery or accidental damage to an organ during an operation).,,National Scotland
K92,Other diseases of digestive system,Diseases of the digestive system,"A broad family primarily used to track gastrointestinal bleeding of unknown origin, such as vomiting blood (hematemesis) or passing bloody stools before a doctor can locate the exact source with a camera.",,National Scotland
L02,"Cutaneous abscess, furuncle and carbuncle",Diseases of the skin and subcutaneous tissue,"Deep, painful, localized bacterial skin infections, commonly known as boils or skin abscesses.Bacteria (usually Staph) invade a hair follicle or minor skin break. The infection triggers a massive immune response, creating a walled-off pocket of active pus, dead tissue, and inflammation deep within the skin layers.",boil | furunculosis,National Scotland
L03,Cellulitis,Diseases of the skin and subcutaneous tissue,"A severe, spreading bacterial infection of the deep skin layers and the tissues directly underneath.Unlike an abscess, which is walled off in a pocket, cellulitis spreads rapidly and fluidly across the skin tissues. If left untreated, the bacteria can easily break into the lymphatic system (lymphangitis) or the bloodstream, causing systemic sepsis.",acute lymphangitis,National Scotland
L05,Pilonidal cyst,Diseases of the skin and subcutaneous tissue,"A painful infection or fluid pocket that forms at the very top of the cleft of the buttocks, just above the tailbone. It is usually caused by loose hairs embedding themselves into the skin, creating a chronic foreign-body reaction and recurring abscesses.",fistula coccygeal or pilonidal | sinus coccygeal or pilonidal,National Scotland
L08,Other local infections of skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,"A category for alternative localized bacterial skin issues, such as impetigo (highly contagious crusting skin sores common in children) or secondary infections of existing wounds.",,National Scotland
L30,Other dermatitis,Diseases of the skin and subcutaneous tissue,"A broad classification for non-infectious skin inflammation, most commonly tracking conditions like Eczema or severe contact dermatitis (allergic reactions to plants, soaps, or metals).",,National Scotland
L40,Psoriasis,Diseases of the skin and subcutaneous tissue,"A chronic, systemic autoimmune  A chronic, systemic autoimmune skin condition.The immune system mistakenly sends signals that accelerate the growth cycle of skin cells. Instead of taking weeks to shed, new skin cells rise to the surface in a matter of days, piling up rapidly and forming thick, inflamed plaques.skin condition.",,National Scotland
L57,Skin changes due to chronic exposure to nonionizing radiation,Diseases of the skin and subcutaneous tissue,"Permanent skin damage caused entirely by long-term, chronic sun exposure (UV radiation). Permanent skin damage caused entirely by long-term, chronic sun exposure (UV radiation). This includes solar keratosis, advanced sun-aging (wrinkling/leathery skin), and sun spots.This includes solar keratosis, advanced sun-aging (wrinkling/leathery skin), and sun spots.",,National Scotland
L81,Other disorders of pigmentation,Diseases of the skin and subcutaneous tissue,"Permanent skin damage caused entirely by long-term, chronic sun exposure (UV radiation). This includes solar keratosis, advanced sun-aging (wrinkling/leathery skin), and sun spots.",,National Scotland
L82,Seborrhoeic keratosis,Diseases of the skin and subcutaneous tissue,"Very common, completely noncancerous (benign) skin growths that appear in older adults. They look like raised, waxy, or scaly lesions that have a distinct ""stuck-on"" appearance, varying in color from light tan to dark black.",basal cell papilloma | dermatosis papulosa nigra | Leser-TrÃ©lat disease,National Scotland
L85,Other epidermal thickening,Diseases of the skin and subcutaneous tissue,"A category for conditions where the outermost layer of the skin becomes abnormally thick, hard, and leathery. This includes conditions like acquired keratoderma (severe, painful thickening of the skin on the palms of the hands and soles of the feet).",,National Scotland
L89,Decubitus ulcer and pressure area,Diseases of the skin and subcutaneous tissue,"Commonly known as a bedsor or pressure sore.What happens to the body: Constant, prolonged physical pressure on a specific area of the body (usually over bony points like the heels, ankles, hips, or tailbone) pinches and collapses the tiny blood vessels feeding the skin. Starved of oxygen and blood flow, the skin and underlying tissue die off, breaking open into a deep, raw wound. This is highly common in individuals confined to a bed or wheelchair.",Bedsore | Plaster ulcer,National Scotland
L90,Atrophic disorders of skin,Diseases of the skin and subcutaneous tissue," Conditions where the skin layers or the fatty tissue underneath abnormally shrink, thin out, and lose their natural elasticity. This includes striae atrophicae (severe stretch marks) or skin thinning caused by long-term use of strong steroid creams.",,National Scotland
L97,"Ulcer of lower limb, not elsewhere classified",Diseases of the skin and subcutaneous tissue,"A chronic, open leg or foot ulcer that is not caused by direct pressure or bedsores.These wounds are almost always caused by poor circulation, such as venous insufficiency (blood pooling in the lower legs, causing fluid build-up that breaks through the skin) or peripheral artery disease (starving the foot tissue of healthy blood flow). Because the circulation is so poor, minor scrapes or cuts cannot heal, expanding instead into chronic, painful open sores.",,National Scotland
L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",Diseases of the skin and subcutaneous tissue,"A catch-all family for miscellaneous skin tissue failures, including pyoderma gangrenosum (a rare, painful condition causing large, rapidly expanding ulcers) or localized skin responses to retained surgical stitches.",,National Scotland
M00,Pyogenic arthritis,Diseases of the musculoskeletal system and connective tissue,"Commonly known as Septic Arthritis. This is a severe, destructive medical emergency involving an active bacterial infection inside a joint.Bacteria (frequently Staphylococcus aureus) enter a joint cavity, either through a direct puncture wound, surgery, or by traveling through the bloodstream from an infection somewhere else in the body. The joint space fills rapidly with active pus and bacteria. The intense inflammation can permanently destroy the delicate joint cartilage within days, leading to irreversible joint failure if not treated immediately.",,National Scotland
M05,Seropositive rheumatoid arthritis,Diseases of the musculoskeletal system and connective tissue," A chronic, systemic autoimmune disease characterized by painful, destructive joint inflammation.What happens to the body: The body's immune system mistakenly sends white blood cells to attack the synovium—the smooth, fluid-producing membrane that lines and protects the inside of your joints. The membrane swells and thickens into a destructive tissue mass (called a pannus) that systematically eats away at the joint cartilage and bone over time. This form is ""seropositive,"" meaning a blood test actively detects the presence of Rheumatoid Factor (RF) antibodies.",,National Scotland
M06,Other rheumatoid arthritis,Diseases of the musculoskeletal system and connective tissue," Forms of rheumatoid arthritis that do not fit standard criteria, most notably including Seronegative Rheumatoid Arthritis (where the patient has all the physical joint destruction of the disease, but their blood tests come back completely negative for the standard Rheumatoid Factor antibody).",,National Scotland
M069,"Rheumatoid arthritis, unspecified",Diseases of the musculoskeletal system and connective tissue,"The standard, general billing code used for a patient diagnosed with classic chronic rheumatoid arthritis when the medical chart does not specify whether it is seropositive or seronegative, or if it is currently affecting multiple joints at once.",,Tayside and Fife
M0690,Other rheumatoid arthritis,Diseases of the musculoskeletal system and connective tissue,"A broad administrative placeholder code. It notes the patient has rheumatoid arthritis, but the medical chart fails to specify which joint or limb is currently inflamed.",,Tayside and Fife
M0694,"Rheumatoid arthritis, unspecified, hand",Diseases of the musculoskeletal system and connective tissue,"Active rheumatoid arthritis explicitly localized to the joints of the hand (such as the knuckles, fingers, or wrist). The immune system attacks the delicate lining of the small hand joints. As the joints swell, it stretches the surrounding tendons and ligaments, which can eventually cause the fingers to drift sideways toward the pinky finger (ulnar deviation) or lock into rigid shapes.",,Tayside and Fife
M0696,"Other rheumatoid aRheumatoid arthritis, unspecified, lower legrthritis",Diseases of the musculoskeletal system and connective tissue,"Active rheumatoid arthritis localized to the ankle joint or the small tarsal joints of the foot. It causes chronic swelling, making walking painful and altering foot mechanics over time",,Tayside and Fife
M0699,"Rheumatoid arthritis, unspecified, multiple sites",Diseases of the musculoskeletal system and connective tissue,"Rheumatoid arthritis that is actively flaring up across several different joints simultaneously (e.g., affecting both hands, the knees, and the ankles all at once).",,Tayside and Fife
M10,Gout,Diseases of the musculoskeletal system and connective tissue,"A form of inflammatory arthritis characterized by sudden, excruciating flare-ups of joint pain.Gout is caused by a metabolic buildup of too much uric acid in the bloodstream. If the body makes too much or the kidneys filter out too little, the excess uric acid crystallizes. These tiny, needle-sharp crystals accumulate directly inside a joint space. The immune system treats these crystals like foreign shards of glass, launching a massive, hyper-aggressive inflammatory response.",,National Scotland
M13,Other arthritis,Diseases of the musculoskeletal system and connective tissue,"A category used for general joint inflammation that does not fit into clean categories like rheumatoid or gout, such as allergic arthritis or temporary joint inflammation following an unrelated viral illness.",,National Scotland
M15,Polyarthrosis,Diseases of the musculoskeletal system and connective tissue," Osteoarthritis that has set into multiple completely separate joints across the body (such as having wear-and-tear arthritis in both hands, the spine, and a hip simultaneously).",arthrosis with mention of more than one site,National Scotland
M16,Coxarthrosis [arthrosis of hip],Diseases of the musculoskeletal system and connective tissue,"Degeneration of the ball-and-socket joint of the hip.The slick, protective cartilage covering the head of the femur (thigh bone) and the socket in the pelvis slowly wears away. As the cushion thins, bone begins to scrape directly against bone, causing the body to grow painful, jagged bone spurs (osteophytes) to try and protect itself, which locks up hip mobility.",,National Scotland
M17,Gonarthrosis [arthrosis of knee],Diseases of the musculoskeletal system and connective tissue,"Wear-and-tear degradation of the knee joint.What happens to the body: The shock-absorbing cartilage menisci inside the knee flatten and fray. Bone rubs on bone, leading to chronic joint fluid pooling (""fluid on the knee"").",,National Scotland
M19,Other arthrosis,Diseases of the musculoskeletal system and connective tissue,"A code applied when a patient has wear-and-tear arthritis in an unusual or unspecified location, such as a shoulder, elbow, or wrist joint.",,National Scotland
M20,Acquired deformities of fingers and toes,Diseases of the musculoskeletal system and connective tissue,"Structural alterations in the shapes of the fingers or toes that develop later in life due to underlying severe arthritis. This includes conditions like Bunions (Hallux valgus), Hammertoes, or the structural twisting of finger joints caused by long-term joint erosion.",,National Scotland
M23,Internal derangement of knee,Diseases of the musculoskeletal system and connective tissue,"Structural or mechanical failures inside the knee joint capsule that are usually caused by an old injury or chronic instability.This code tracks internal physical tear zones, such as a torn meniscus (the shock-absorbing cartilage disc) or a chronic tear of the Anterior Cruciate Ligament (ACL). When these tissues fail, loose cartilage fragments can float inside the joint or the knee can suddenly buckle or ""lock up"" during movement.",,National Scotland
M25,"Other joint disorders, not elsewhere classified",Diseases of the musculoskeletal system and connective tissue,"A broad diagnostic family used to bill for generalized joint symptoms. It is most frequently used for joint pain (arthralgia), joint stiffness, or localized swelling when a doctor hasn't labeled it as standard osteoarthritis yet",,National Scotland
M31,Other necrotizing vasculopathies,Diseases of the musculoskeletal system and connective tissue," A family of rare, serious autoimmune conditions characterized by active inflammation of the blood vessels. The immune system mistakenly attacks the walls of arteries and veins. This causes the blood vessels to swell, narrow, or develop scar tissue, which restricts or completely blocks healthy blood flow to vital organs. Conditions under this code include Giant Cell Arteritis (which hits blood vessels in the temples and can cause sudden blindness if untreated) and Wegener's Granulomatosis.",,National Scotland
M329,"Systemic lupus erythematosus, unspecified",Diseases of the musculoskeletal system and connective tissue,"f this chronic disease, but the medical chart at that moment does not single out one specific organ complication (like lupus kidney disease or lupus brain inflammation) as the primary focus of the billing claim. Lupus is a complex, systemic autoimmune disease. For reasons not fully understood, the body's immune system experiences a massive regulatory failure. Instead of creating antibodies to fight off external viruses and bacteria, it manufactures ""autoantibodies"" that mistake the body's own healthy tissues for foreign invaders. These antibodies launch continuous inflammatory attacks against healthy cells, which can systematically damage joints, skin, blood vessels, and internal organs over time.",,Tayside and Fife
M35,Other systemic involvement of connective tissue,Diseases of the musculoskeletal system and connective tissue,"A category for alternative multi-organ autoimmune diseases. This includes Sjögren's syndrome (where the immune system destroys the moisture-producing glands, causing severe dry mouth and dry eyes) or Polymyalgia Rheumatica.",,National Scotland
M353,Polymyalgia rheumatica,Diseases of the musculoskeletal system and connective tissue,,,Tayside and Fife
M46,Other inflammatory spondylopathies,Diseases of the musculoskeletal system and connective tissue,"Active inflammation of the spine. A primary condition here is Ankylosing Spondylitis.The immune system causes chronic inflammation in the joints and ligaments of the spinal column. Over time, the body tries to heal this chronic inflammation by growing new bone. This causes the individual vertebrae of the spine to physically fuse together into a rigid, solid block of bone (often called a ""bamboo spine""), destroying all flexibility.",,National Scotland
M47,Spondylosis,Diseases of the musculoskeletal system and connective tissue,"Age-related wear-and-tear osteoarthritis of the spine. The slick cartilage cushions between the spinal joints wear thin, and the bones scrape together. To protect itself, the body grows jagged bone spurs (osteophytes) around the edges of the vertebrae. These spurs can physically press outward into the spinal canal or exit holes, pinching passing nerves.",arthrosis or osteoarthritis of spine | degeneration of facet joints,National Scotland
M48,Other spondylopathies,Diseases of the musculoskeletal system and connective tissue,"A category for structural mechanical failures of the spine, such as Spinal Stenosis (an abnormal narrowing of the spinal cord tunnel that crushes the central nervous system cables) or spinal fatigue fractures.",,National Scotland
M53,"Other dorsopathies, not elsewhere classified",Diseases of the musculoskeletal system and connective tissue,"Structural issues of the neck and back that aren't caused by arthritis, such as Cervicobrachial syndrome (where neck structural issues cause shooting pain and numbness to travel down the arm).",,National Scotland
M54,Dorsalgia,Diseases of the musculoskeletal system and connective tissue,"The official clinical term for general back pain. This is one of the most common billing codes in healthcare, used for generic lower back pain (lumbago), neck pain, or thoracic spine pain before an MRI can pinpoint a herniated disc or specific arthritic cause",,National Scotland
M62,Other disorders of muscle,Diseases of the musculoskeletal system and connective tissue,"Conditions affecting the actual skeletal muscle fibers. This tracks issues like muscle atrophy (wasting away of muscle tissue from disuse or nerve damage), chronic muscle spasms, or muscle weakness.",,National Scotland
M79,"Other soft tissue disorders, not elsewhere classified",Diseases of the musculoskeletal system and connective tissue,"A broad category used to track deep tissue pain that doesn't originate in the bones or joints. This code is frequently used to document Fibromyalgia (a chronic condition causing widespread muscle pain, tenderness, and fatigue throughout the entire body) or localized nerve pain (neuralgia).",,National Scotland
M80,Osteoporosis with pathological fracture,Diseases of the musculoskeletal system and connective tissue," A serious skeletal condition where a patient's bones are severely weakened by osteoporosis, causing a bone to break during a normal, everyday activity that wouldn't normally cause an injury. Osteoporosis silently thins out the internal scaffolding of the bones, making them brittle like dry twigs. A ""pathological fracture"" means a bone breaks from minor stress—such as coughing, sneezing, or simply stepping off a curb—rather than from a major fall or accident. It most commonly strikes the vertebrae in the spine, hips, or wrists.",osteoporotic vertebral collapse and wedging,National Scotland
M81,Osteoporosis without pathological fracture,Diseases of the musculoskeletal system and connective tissue,"The standard billing code for baseline osteoporosis. The patient has documented low bone mineral density, placing them at high risk for breaks, but they have not suffered a fracture. It is often a asymptomatic condition monitored via bone density scans (DEXA).",,National Scotland
M84,Disorders of continuity of bone,Diseases of the musculoskeletal system and connective tissue," A category for complications in how a bone heals after a break. This tracks issues like a nonunion (the broken bone pieces fail to grow back together entirely) or a malunion (the bone heals but is crooked, rotated, or out of normal alignment).",,National Scotland
M86,Osteomyelitis,Diseases of the musculoskeletal system and connective tissue," A severe, painful bacterial infection deep inside a bone. Bacteria (frequently Staphylococcus) enter the bone tissue through a deep open wound, a surgical procedure, or by traveling through the blood from an infection elsewhere. The infection builds up intense pressure inside the rigid bone cavity, cutting off its own blood supply. If left untreated, sections of the bone can die (necrotize), requiring surgical removal.",,National Scotland
M90,Osteopathies in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,"Bone degradation, death, or structural anomalies caused directly by a separate primary disease, such as bone death caused by sickle cell anemia or advanced tuberculosis.",,National Scotland
M96,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified",Diseases of the musculoskeletal system and connective tissue,An administrative category used when a patient develops a bone or joint complication as a direct result of surgery or a medical procedure (such as a bone splitting while a surgeon is implanting an artificial joint).,,National Scotland
N03,Chronic nephritic syndrome,Diseases of the genitourinary system,"Long-standing, slowly progressing inflammation of the kidney's filtering units (the glomeruli). Over decades, this chronic inflammation leads to irreversible scarring and kidney damage.",chronic: glomerular disease | chronic: glomerulonephritis | chronic: nephritis,National Scotland
N08,Glomerular disorders in diseases classified elsewhere,Diseases of the genitourinary system,"Severe damage and inflammation to the kidney's filters caused entirely by a separate systemic disease. The most frequent cause billed under this code is Lupus Nephritis (where Lupus, M32.9, directly attacks the kidney filters).",nephropathy in diseases classified elsewhere,National Scotland
N13,Obstructive and reflux uropathy,Diseases of the genitourinary system," A structural blockage or reverse flow in the urinary tract that stops urine from draining properly out of the body. Usually caused by a large kidney stone, a tumor, or a narrowed tube (stricture), urine gets trapped and backs up into the kidney. This causes the kidney to stretch out and swell under the fluid pressure (a condition called hydronephrosis), which can permanently destroy kidney tissue within weeks if the blockage isn't cleared.",,National Scotland
N17,Acute renal failure,Diseases of the genitourinary system,"A sudden, rapid-onset medical emergency where the kidneys abruptly stop working, over a matter of hours or days. It can be caused by severe dehydration, toxic drug exposures, or heavy blood loss. It is often reversible if the root cause is treated quickly.",acute renal impairment,National Scotland
N18,Chronic kidney disease,Diseases of the genitourinary system,"The overarching parent medical category for permanent, long-term, progressive kidney damage where the organs slowly lose their filtering capacity over years, most commonly caused by long-standing high blood pressure or diabetes.",chronic renal failure,National Scotland
N183,"Chronic kidney disease, stage 3",Diseases of the genitourinary system,"Moderate kidney damage. The kidney's filtering capacity (eGFR) has dropped significantly, sitting between 30% and 59%. At this stage, waste products begin to build up in the blood, and doctors focus heavily on protecting remaining function.",,Tayside and Fife
N184,"Chronic kidney disease, stage 4",Diseases of the genitourinary system,"Severe kidney damage. The organ's filtering capacity has plummeted dangerously low, sitting between 15% and 29%. This is the final stage before full kidney failure, and patients are actively prepared for dialysis or a transplant evaluation.",,Tayside and Fife
N189,"Chronic kidney disease, unspecified",Diseases of the genitourinary system,"The baseline code for permanent, progressive kidney damage where the medical chart confirms chronic kidney disease but lacks structural sub-details or an exact calculated filtering stage (stages 1 to 5) at that moment.",Chronic renal impairment | Chronic uraemia NOS | Diffuse sclerosing glomerulonephritis NOS,Tayside and Fife
N19,Unspecified kidney failure,Diseases of the genitourinary system,"An emergency placeholder code used when a patient's kidneys have shut down completely, but the diagnostic testing hasn't yet clarified if it is a sudden crisis (acute) or long-term damage (chronic).",Renal insufficiency NOS | Uraemia NOS,National Scotland
N19X,Unspecified kidney failure,Diseases of the genitourinary system,"An emergency placeholder code used when a patient's kidneys have shut down completely, but the diagnostic testing hasn't yet clarified if it is a sudden crisis (acute) or long-term damage (chronic).",Renal insufficiency NOS | Uraemia NOS,Tayside and Fife
N21,Calculus of lower urinary tract,Diseases of the genitourinary system,"Bladder stones or stones trapped in the lower urinary tubes.Minerals in the urine crystallize and form hard, pebble-like stones inside the bladder. They can roll around and block the exit hole where urine leaves the body, trapping fluid and causing severe tissue irritation.",with cystitis and urethritis,National Scotland
N23,Unspecified renal colic,Diseases of the genitourinary system,"The official medical term for excruciating, sudden pain caused by a kidney stone passing through the narrow tubes. A jagged stone breaks loose from the kidney and scratches its way down the microscopic tube (ureter) leading to the bladder. The tube goes into violent muscle spasms to try and push the stone out, completely blocking urine flow from that kidney.",,National Scotland
N25,Disorders resulting from impaired renal tubular function,Diseases of the genitourinary system,"Conditions where the kidney's filtering units are intact, but the microscopic reabsorption tubes fail to manage electrolytes. This tracks issues like renal tubular acidosis, where the kidneys fail to remove acid from the blood, making the body highly acidic.",,National Scotland
N28,"Other disorders of kidney and ureter, not elsewhere classified",Diseases of the genitourinary system,"Tracks structural defects outside of infections or stones, such as a renal infarction (a blood clot cutting off blood flow to the kidney tissue) or a twisted drainage tube.",,National Scotland
N30,Cystitis,Diseases of the genitourinary system," Bladder inflammation or infection. Bacteria enter the urethra and multiply rapidly inside the bladder, causing the inner lining to turn bright red, swollen, and raw. It can also be caused by radiation or chemical irritants.",,National Scotland
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",Diseases of the genitourinary system,"Commonly known as a Neurogenic Bladder.The nerve pathways between the brain, spinal cord, and bladder muscles are damaged (often by diabetes, a stroke, or a spinal injury). The bladder either fails to squeeze waste out completely (urinary retention) or squeezes uncontrollably out of sync (neurogenic urgency).",,National Scotland
N32,Other disorders of bladder,Diseases of the genitourinary system," Structural failures of the bladder walls, such as a bladder diverticulum (an abnormal pouch bulging outward through the bladder muscle wall) or a scarred, shrunken bladder lining.",,National Scotland
N35,Urethral stricture,Diseases of the genitourinary system," An abnormal narrowing of the urethra (the final tube that carries urine out of the body).Usually caused by old scar tissue from an infection or a medical procedure, the tube tightens and narrows. This acts like a kinked hose, forcing the bladder to generate dangerous pressures to squeeze out urine.",,National Scotland
N39,Other disorders of urinary system,Diseases of the genitourinary system,"A broad administrative family used to group common general urinary symptoms. It is heavily utilized for a Urinary Tract Infection (UTI), site unspecified or chronic Urinary Incontinence (accidental leaking of urine).",,National Scotland
N40,Hyperplasia of prostate,Diseases of the genitourinary system,"An enlarged prostate, occurring exclusively in men. The prostate gland sits directly underneath the bladder, completely wrapping around the exit tube (urethra). As men age, the gland naturally grows larger. The expanding tissue pinches down on the urethra like a clamp, making it incredibly difficult for the bladder to empty.",Adenofibromatous hypertrophy of prostate | Enlargement (benign) of prostate | Hypertrophy (benign) of prostate | Median bar (prostate) | Prostatic obstruction NOS,National Scotland
N45,Orchitis and epididymitis,Diseases of the genitourinary system," Active inflammation or infection of the testicle (orchitis) and the epididymis (the coiled tube at the back of the testicle that stores sperm).Usually triggered by a bacterial infection or a sexually transmitted infection (STI), the tissues swell rapidly under intense pressure.",,National Scotland
N47,"Redundant prepuce, phimosis and paraphimosis",Diseases of the genitourinary system," Structural disorders affecting the foreskin. This covers phimosis (where the foreskin is too tight to be pulled back over the head of the penis) and paraphimosis (a medical emergency where the foreskin gets trapped behind the head and acts like a tight rubber band, cutting off blood flow to the tip).",Adherent prepuce | Tight foreskin,National Scotland
N48,Other disorders of penis,Diseases of the genitourinary system,"Covers localized, non-infectious mechanical anomalies such as balanitis (inflammation of the head of the penis) or structural curvatures (Peyronie's disease).",,National Scotland
N49,"Inflammatory disorders of male genital organs, not elsewhere classified",Diseases of the genitourinary system," A category for deeper, complex pelvic infections in men, such as a localized abscess in the seminal vesicles or scrotum.",,National Scotland
N60,Benign mammary dysplasia,Diseases of the genitourinary system,"Commonly known as fibrocystic breast disease. Normal hormonal changes during menstrual cycles cause the breast tissue to form benign, fluid-filled cysts or lumpy, fibrous scar-like tissue.",fibrocystic mastopathy,National Scotland
N61,Inflammatory disorders of breast,Diseases of the genitourinary system," Mastitis or a localized breast abscess. Bacteria enter the breast tissue via a cracked nipple (highly common during breastfeeding). The tissue plugs up, swells, and develops a painful infection.",Abscess (acute)(chronic)(nonpuerperal) of: areola | Abscess (acute)(chronic)(nonpuerperal) of: breast | Carbuncle of breast | Mastitis (acute)(subacute)(nonpuerperal): NOS | Mastitis (acute)(subacute)(nonpuerperal): infective,National Scotland
N63,Unspecified lump in breast,Diseases of the genitourinary system,"A high-frequency diagnostic baseline code used when a physician or patient physically feels an unidentified lump in the breast tissue, acting as a placeholder before an ultrasound, mammogram, or biopsy can confirm if it is a benign cyst or a tumor.",Nodule(s) NOS in breast,National Scotland
N64,Other disorders of breast,Diseases of the genitourinary system," Non-cancerous anomalies, such as localized breast pain (mastalgia), nipple discharge, or cysts that do not fit into the fibrocystic category.",,National Scotland
N72,Inflammatory disease of cervix uteri,Diseases of the genitourinary system," Cervicitis—inflammation or infection of the cervix (the neck of the womb), often caused by STIs like chlamydia or gonorrhea.",Cervicitis with or without erosion or ectropion | Endocervicitis with or without erosion or ectropion | Exocervicitis with or without erosion or ectropion,National Scotland
